system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
aurora,naive,fixed,10,20,64,6528,6527,-1,9387609,20.0126,469085
aurora,hierarchical,fixed,10,20,64,6528,6527,0,30781828,20.2549,1.51972e+06
aurora,hierarchical,fixed,10,20,64,6528,6527,-1,28012938,20.034,1.39827e+06
aurora,lockfree_rma,fixed,10,20,64,6528,6527,-1,3902831,20.0165,194981
aurora,hierarchical_lockfree_rma,fixed,10,20,64,6528,6527,0,175379009,20.0012,8.76841e+06
aurora,hierarchical_lockfree_rma,fixed,10,20,64,6528,6527,-1,32166054,20.0002,1.60829e+06
aurora,naive,fixed,100,20,64,6528,6527,-1,9877168,20.0166,493450
aurora,hierarchical,fixed,100,20,64,6528,6527,0,32705324,20.3643,1.60601e+06
aurora,hierarchical,fixed,100,20,64,6528,6527,-1,31211646,20.373,1.53201e+06
aurora,lockfree_rma,fixed,100,20,64,6528,6527,-1,3914647,20.0058,195676
aurora,hierarchical_lockfree_rma,fixed,100,20,64,6528,6527,0,181539910,20.0015,9.07634e+06
aurora,hierarchical_lockfree_rma,fixed,100,20,64,6528,6527,-1,31067529,20.001,1.5533e+06
aurora,naive,fixed,1000,20,64,6528,6527,-1,7639718,20.0335,381348
aurora,hierarchical,fixed,1000,20,64,6528,6527,0,52233708,20.2474,2.57978e+06
aurora,hierarchical,fixed,1000,20,64,6528,6527,-1,75120388,20.1813,3.72228e+06
aurora,lockfree_rma,fixed,1000,20,64,6528,6527,-1,3988594,20.0084,199346
aurora,hierarchical_lockfree_rma,fixed,1000,20,64,6528,6527,0,116978444,20.0008,5.84868e+06
aurora,hierarchical_lockfree_rma,fixed,1000,20,64,6528,6527,-1,40596268,20.0006,2.02976e+06
aurora,naive,fixed,10000,20,64,6528,6527,-1,7295849,20.0577,363743
aurora,hierarchical,fixed,10000,20,64,6528,6527,0,9223910,20.539,449093
aurora,hierarchical,fixed,10000,20,64,6528,6527,-1,8415530,20.4131,412261
aurora,lockfree_rma,fixed,10000,20,64,6528,6527,-1,3861221,20.0081,192983
