system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,naive,fixed,10,20,2,18,17,-1,12956778,20.0001,647834
frontier,naive,fixed,100,20,2,18,17,-1,3172101,20.0005,158601
frontier,naive,fixed,1000,20,2,18,17,-1,337709,20.0035,16882.5
frontier,naive,fixed,10000,20,2,18,17,-1,34022,20.0307,1698.49
frontier,naive,fixed,100000,20,2,18,17,-1,3451,20.3026,169.978
frontier,naive,fixed,1000000,20,2,18,17,-1,391,23.0022,16.9984
frontier,naive,uniform,10,20,2,18,17,-1,13518193,20.0001,675905
frontier,naive,uniform,100,20,2,18,17,-1,3163532,20.0005,158172
frontier,naive,uniform,1000,20,2,18,17,-1,337852,20.0044,16888.9
frontier,naive,uniform,10000,20,2,18,17,-1,34123,20.054,1701.56
frontier,naive,uniform,100000,20,2,18,17,-1,3547,20.514,172.906
frontier,naive,uniform,1000000,20,2,18,17,-1,427,25.0956,17.015
frontier,hierarchical,fixed,10,20,2,18,17,-1,20949548,20.0001,1.04747e+06
frontier,hierarchical,fixed,100,20,2,18,17,-1,2903528,20.0006,145172
frontier,hierarchical,fixed,1000,20,2,18,17,-1,299094,20.006,14950.2
frontier,hierarchical,fixed,10000,20,2,18,17,-1,30084,20.0677,1499.12
frontier,hierarchical,fixed,100000,20,2,18,17,-1,3098,20.7014,149.651
frontier,hierarchical,fixed,1000000,20,2,18,17,-1,398,27.0018,14.7398
frontier,hierarchical,uniform,10,20,2,18,17,-1,21297178,20.0001,1.06485e+06
frontier,hierarchical,uniform,100,20,2,18,17,-1,2902850,20.0008,145137
frontier,hierarchical,uniform,1000,20,2,18,17,-1,299110,20.006,14951
frontier,hierarchical,uniform,10000,20,2,18,17,-1,30084,20.0693,1499.01
frontier,hierarchical,uniform,100000,20,2,18,17,-1,3144,20.7782,151.312
frontier,hierarchical,uniform,1000000,20,2,18,17,-1,428,28.4513,15.0432
frontier,hierarchical,fixed,10,20,2,18,17,0,20936458,20.0001,1.04682e+06
frontier,hierarchical,fixed,100,20,2,18,17,0,2903482,20.0007,145169
frontier,hierarchical,fixed,1000,20,2,18,17,0,299094,20.0062,14950.1
frontier,hierarchical,fixed,10000,20,2,18,17,0,30084,20.0676,1499.13
frontier,hierarchical,fixed,100000,20,2,18,17,0,3098,20.7016,149.65
frontier,hierarchical,fixed,1000000,20,2,18,17,0,398,27.0034,14.7389
frontier,hierarchical,uniform,10,20,2,18,17,0,21294264,20.0001,1.06471e+06
frontier,hierarchical,uniform,100,20,2,18,17,0,2903654,20.0006,145178
frontier,hierarchical,uniform,1000,20,2,18,17,0,299566,20.0065,14973.4
frontier,hierarchical,uniform,10000,20,2,18,17,0,29992,20.0761,1493.92
frontier,hierarchical,uniform,100000,20,2,18,17,0,3068,20.801,147.493
frontier,hierarchical,uniform,1000000,20,2,18,17,0,412,28.9641,14.2245
frontier,lockfree_rma,fixed,10,20,2,18,17,-1,5741907,20,287095
frontier,lockfree_rma,fixed,100,20,2,18,17,-1,1935872,20.0001,96793.1
frontier,lockfree_rma,fixed,1000,20,2,18,17,-1,303994,20,15199.7
frontier,lockfree_rma,fixed,10000,20,2,18,17,-1,33592,20.0001,1679.59
frontier,lockfree_rma,fixed,100000,20,2,18,17,-1,3383,20,169.15
frontier,lockfree_rma,fixed,1000000,20,2,18,17,-1,323,20.0001,16.15
frontier,lockfree_rma,uniform,10,20,2,18,17,-1,5766390,20,288319
frontier,lockfree_rma,uniform,100,20,2,18,17,-1,1659593,20.0001,82979.4
frontier,lockfree_rma,uniform,1000,20,2,18,17,-1,305698,20,15284.9
frontier,lockfree_rma,uniform,10000,20,2,18,17,-1,33682,20.0001,1684.09
frontier,lockfree_rma,uniform,100000,20,2,18,17,-1,3354,20.0001,167.699
frontier,lockfree_rma,uniform,1000000,20,2,18,17,-1,321,20,16.05
frontier,hierarchical_lockfree_rma,fixed,10,20,2,18,17,-1,1984221,20,99210.9
frontier,hierarchical_lockfree_rma,fixed,100,20,2,18,17,-1,1996792,20.0001,99839.2
frontier,hierarchical_lockfree_rma,fixed,1000,20,2,18,17,-1,273092,20.0001,13654.6
frontier,hierarchical_lockfree_rma,fixed,10000,20,2,18,17,-1,29718,20.0001,1485.89
frontier,hierarchical_lockfree_rma,fixed,100000,20,2,18,17,-1,2985,20.0001,149.25
frontier,hierarchical_lockfree_rma,fixed,1000000,20,2,18,17,-1,285,20,14.25
frontier,hierarchical_lockfree_rma,uniform,10,20,2,18,17,-1,1988914,20,99445.5
frontier,hierarchical_lockfree_rma,uniform,100,20,2,18,17,-1,1995564,20,99778.1
frontier,hierarchical_lockfree_rma,uniform,1000,20,2,18,17,-1,278672,20,13933.6
frontier,hierarchical_lockfree_rma,uniform,10000,20,2,18,17,-1,29767,20.0001,1488.34
frontier,hierarchical_lockfree_rma,uniform,100000,20,2,18,17,-1,2979,20,148.95
frontier,hierarchical_lockfree_rma,uniform,1000000,20,2,18,17,-1,269,20,13.45
frontier,hierarchical_lockfree_rma,fixed,10,20,2,18,17,0,1983511,20,99175.4
frontier,hierarchical_lockfree_rma,fixed,100,20,2,18,17,0,2004668,20,100233
frontier,hierarchical_lockfree_rma,fixed,1000,20,2,18,17,0,273035,20.0001,13651.7
frontier,hierarchical_lockfree_rma,fixed,10000,20,2,18,17,0,29718,20.0001,1485.89
frontier,hierarchical_lockfree_rma,fixed,100000,20,2,18,17,0,2985,20.0001,149.249
frontier,hierarchical_lockfree_rma,fixed,1000000,20,2,18,17,0,285,20.0001,14.25
frontier,hierarchical_lockfree_rma,uniform,10,20,2,18,17,0,1990987,20.0001,99548.9
frontier,hierarchical_lockfree_rma,uniform,100,20,2,18,17,0,2001427,20.0001,100071
frontier,hierarchical_lockfree_rma,uniform,1000,20,2,18,17,0,279222,20,13961.1
frontier,hierarchical_lockfree_rma,uniform,10000,20,2,18,17,0,29755,20,1487.75
frontier,hierarchical_lockfree_rma,uniform,100000,20,2,18,17,0,2959,20.0001,147.95
frontier,hierarchical_lockfree_rma,uniform,1000000,20,2,18,17,0,296,20.0001,14.7999
frontier,naive,fixed,10,20,2,112,111,-1,15988440,20,799420
frontier,naive,fixed,100,20,2,112,111,-1,13127972,20.0007,656376
frontier,naive,fixed,1000,20,2,112,111,-1,2204343,20.0041,110195
frontier,naive,fixed,10000,20,2,112,111,-1,222136,20.0322,11089
frontier,naive,fixed,100000,20,2,112,111,-1,22533,20.304,1109.78
frontier,naive,fixed,1000000,20,2,112,111,-1,2553,23.0057,110.973
frontier,naive,uniform,10,20,2,112,111,-1,16075464,20.0001,803771
frontier,naive,uniform,100,20,2,112,111,-1,13295862,20.0007,664770
frontier,naive,uniform,1000,20,2,112,111,-1,2205733,20.0058,110254
frontier,naive,uniform,10000,20,2,112,111,-1,221768,20.0464,11062.7
frontier,naive,uniform,100000,20,2,112,111,-1,22741,20.5733,1105.36
frontier,naive,uniform,1000000,20,2,112,111,-1,2730,25.6468,106.446
frontier,hierarchical,fixed,10,20,2,112,111,-1,35730194,20.0006,1.78646e+06
frontier,hierarchical,fixed,100,20,2,112,111,-1,20810842,20.0007,1.04051e+06
frontier,hierarchical,fixed,1000,20,2,112,111,-1,2172938,20.0077,108605
frontier,hierarchical,fixed,10000,20,2,112,111,-1,218460,20.0582,10891.3
frontier,hierarchical,fixed,100000,20,2,112,111,-1,22462,20.7019,1085.02
frontier,hierarchical,fixed,1000000,20,2,112,111,-1,2842,27.0011,105.255
frontier,hierarchical,uniform,10,20,2,112,111,-1,36121276,20.0006,1.80601e+06
frontier,hierarchical,uniform,100,20,2,112,111,-1,20926802,20.0008,1.0463e+06
frontier,hierarchical,uniform,1000,20,2,112,111,-1,2172944,20.0079,108604
frontier,hierarchical,uniform,10000,20,2,112,111,-1,218786,20.0707,10900.8
frontier,hierarchical,uniform,100000,20,2,112,111,-1,22462,20.7666,1081.64
frontier,hierarchical,uniform,1000000,20,2,112,111,-1,2952,29.152,101.262
frontier,hierarchical,fixed,10,20,2,112,111,0,35585778,20.0004,1.77925e+06
frontier,hierarchical,fixed,100,20,2,112,111,0,20811128,20.0007,1.04052e+06
frontier,hierarchical,fixed,1000,20,2,112,111,0,2172940,20.0077,108605
frontier,hierarchical,fixed,10000,20,2,112,111,0,218460,20.0585,10891.2
frontier,hierarchical,fixed,100000,20,2,112,111,0,22462,20.7021,1085.01
frontier,hierarchical,fixed,1000000,20,2,112,111,0,2842,27.0011,105.255
frontier,hierarchical,uniform,10,20,2,112,111,0,36088600,20.0005,1.80439e+06
frontier,hierarchical,uniform,100,20,2,112,111,0,20924440,20.0008,1.04618e+06
