system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,2048,18432,18431,4,5,7431143,1.48623e+06,80.6374
frontier,noprobe,2048,18432,18431,4,5,5008060,1.00161e+06,54.3439
frontier,oneway,2048,18432,18431,4,5,1177378,235476,12.7761
