system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
aurora,naive,uniform,10,20,64,6528,6527,-1,8935907,20.0189,446372
aurora,hierarchical,uniform,10,20,64,6528,6527,0,29847512,20.254,1.47366e+06
aurora,hierarchical,uniform,10,20,64,6528,6527,-1,28295106,20.4498,1.38364e+06
aurora,lockfree_rma,uniform,10,20,64,6528,6527,-1,3627909,20.003,181368
aurora,hierarchical_lockfree_rma,uniform,10,20,64,6528,6527,0,170800247,20.0007,8.53972e+06
aurora,hierarchical_lockfree_rma,uniform,10,20,64,6528,6527,-1,31842321,20.0016,1.59199e+06
aurora,naive,uniform,100,20,64,6528,6527,-1,10426423,20.026,520644
aurora,hierarchical,uniform,100,20,64,6528,6527,0,31958954,20.3558,1.57002e+06
aurora,hierarchical,uniform,100,20,64,6528,6527,-1,30486660,20.5225,1.48552e+06
aurora,lockfree_rma,uniform,100,20,64,6528,6527,-1,3609587,20.0057,180428
aurora,hierarchical_lockfree_rma,uniform,100,20,64,6528,6527,0,177169137,20.0011,8.85796e+06
aurora,hierarchical_lockfree_rma,uniform,100,20,64,6528,6527,-1,30092705,20.0002,1.50462e+06
aurora,naive,uniform,1000,20,64,6528,6527,-1,7455704,20.0512,371833
aurora,hierarchical,uniform,1000,20,64,6528,6527,0,21310608,20.345,1.04746e+06
aurora,hierarchical,uniform,1000,20,64,6528,6527,-1,63861706,20.2848,3.14825e+06
aurora,lockfree_rma,uniform,1000,20,64,6528,6527,-1,3595150,20.0053,179710
aurora,hierarchical_lockfree_rma,uniform,1000,20,64,6528,6527,0,117089009,20.001,5.85415e+06
aurora,hierarchical_lockfree_rma,uniform,1000,20,64,6528,6527,-1,31682470,20.0015,1.584e+06
aurora,naive,uniform,10000,20,64,6528,6527,-1,7236554,20.323,356077
aurora,hierarchical,uniform,10000,20,64,6528,6527,0,8381550,20.4964,408928
aurora,hierarchical,uniform,10000,20,64,6528,6527,-1,7147102,20.4854,348888
aurora,lockfree_rma,uniform,10000,20,64,6528,6527,-1,3875931,20.004,193758
aurora,hierarchical_lockfree_rma,uniform,10000,20,64,6528,6527,0,12662542,20.0006,633109
aurora,hierarchical_lockfree_rma,uniform,10000,20,64,6528,6527,-1,12581839,20.0006,629074
aurora,naive,uniform,100000,20,64,6528,6527,-1,1079924,20.6886,52198.9
aurora,hierarchical,uniform,100000,20,64,6528,6527,0,1189840,21.0258,56589.6
aurora,hierarchical,uniform,100000,20,64,6528,6527,-1,1148174,21.5243,53343
aurora,lockfree_rma,uniform,100000,20,64,6528,6527,-1,1287352,20.0006,64365.6
aurora,hierarchical_lockfree_rma,uniform,100000,20,64,6528,6527,0,1277552,20.0013,63873.5
aurora,hierarchical_lockfree_rma,uniform,100000,20,64,6528,6527,-1,1274933,20.0012,63742.7
aurora,naive,uniform,1000000,20,64,6528,6527,-1,154737,26.3104,5881.21
aurora,hierarchical,uniform,1000000,20,64,6528,6527,0,179806,29.9475,6004.03
aurora,hierarchical,uniform,1000000,20,64,6528,6527,-1,172172,30.2616,5689.45
aurora,naive,uniform,10,20,128,13056,13055,-1,10028250,20.0862,499260
