system,distributor,nodes,max_upper_fanout,world_size,workers,time_per_shutdown_us,iterations
frontier,hierarchical,512,0,4608,4607,2260.58,2332
frontier,hierarchical_lockfree_rma,512,0,4608,4607,4774.5,900
frontier,hierarchical,512,0,28672,28671,2299.82,805
frontier,hierarchical_lockfree_rma,512,0,28672,28671,3872.48,559
