system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,2,18,17,4,5,7310205,1.46204e+06,86002.4
frontier,noprobe,2,18,17,4,5,7126771,1.42535e+06,83844.4
frontier,oneway,2,18,17,4,5,12063190,2.41264e+06,141920
