system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,hierarchical,fixed,10,20,64,576,575,4,20596826,20.0014,1.02977e+06
frontier,hierarchical,fixed,100,20,64,576,575,4,15577558,20.0024,778783
frontier,hierarchical,fixed,1000,20,64,576,575,4,10189062,20.0096,509209
frontier,hierarchical,uniform,10,20,64,576,575,4,20444404,20.0022,1.02211e+06
frontier,hierarchical,uniform,100,20,64,576,575,4,17571532,20.0025,878466
frontier,hierarchical,uniform,1000,20,64,576,575,4,10186038,20.0103,509039
frontier,hierarchical_lockfree_rma,fixed,10,20,64,576,575,4,17855808,20.0001,892787
frontier,hierarchical_lockfree_rma,fixed,100,20,64,576,575,4,15219487,20.0003,760964
frontier,hierarchical_lockfree_rma,fixed,1000,20,64,576,575,4,3867816,20.0003,193388
frontier,hierarchical_lockfree_rma,uniform,10,20,64,576,575,4,17809168,20.0005,890436
frontier,hierarchical_lockfree_rma,uniform,100,20,64,576,575,4,15215966,20.0002,760790
frontier,hierarchical_lockfree_rma,uniform,1000,20,64,576,575,4,3468455,20.0001,173422
frontier,hierarchical,fixed,10,20,64,3584,3583,4,34917776,20.0095,1.74506e+06
frontier,hierarchical,fixed,100,20,64,3584,3583,4,24459938,20.0132,1.22219e+06
frontier,hierarchical,fixed,1000,20,64,3584,3583,4,69605022,20.0141,3.4778e+06
frontier,hierarchical,uniform,10,20,64,3584,3583,4,35200404,20.0088,1.75924e+06
frontier,hierarchical,uniform,100,20,64,3584,3583,4,24555894,20.0118,1.22707e+06
frontier,hierarchical,uniform,1000,20,64,3584,3583,4,68976594,20.0153,3.44619e+06
frontier,hierarchical_lockfree_rma,fixed,10,20,64,3584,3583,4,55573829,20.0017,2.77845e+06
frontier,hierarchical_lockfree_rma,fixed,100,20,64,3584,3583,4,58309637,20.0003,2.91543e+06
frontier,hierarchical_lockfree_rma,fixed,1000,20,64,3584,3583,4,25240017,20.0013,1.26192e+06
frontier,hierarchical_lockfree_rma,uniform,10,20,64,3584,3583,4,55492264,20.0016,2.7744e+06
frontier,hierarchical_lockfree_rma,uniform,100,20,64,3584,3583,4,55397053,20.0016,2.76964e+06
frontier,hierarchical_lockfree_rma,uniform,1000,20,64,3584,3583,4,22994910,20.0011,1.14968e+06
