system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,128,1152,1151,4,5,7375629,1.47513e+06,1281.6
frontier,noprobe,128,1152,1151,4,5,7267229,1.45345e+06,1262.77
frontier,oneway,128,1152,1151,4,5,7605322,1.52106e+06,1321.52
