system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,1024,9216,9215,4,5,7435605,1.48712e+06,161.38
frontier,noprobe,1024,9216,9215,4,5,7201869,1.44037e+06,156.308
frontier,oneway,1024,9216,9215,4,5,1117005,223401,24.2432
