system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker,exclude_root_node
frontier,probe,64,576,575,4,3,4517658,1.50589e+06,2618.93,0
frontier,noprobe,64,576,575,4,3,4350387,1.45013e+06,2521.96,0
frontier,oneway,64,576,575,4,3,4362615,1.4542e+06,2529.05,0
frontier,probe,64,576,575,64,3,3606698,1.20223e+06,2090.84,0
frontier,noprobe,64,576,575,64,3,3661175,1.22039e+06,2122.42,0
frontier,oneway,64,576,575,64,3,4316644,1.43888e+06,2502.4,0
frontier,probe,64,576,575,256,3,3511639,1.17055e+06,2035.73,0
frontier,noprobe,64,576,575,256,3,1942830,647610,1126.28,0
frontier,oneway,64,576,575,256,3,4081608,1.36054e+06,2366.15,0
frontier,probe,64,576,575,1024,3,2628048,876016,1523.51,0
frontier,noprobe,64,576,575,1024,3,1666035,555345,965.817,0
frontier,oneway,64,576,575,1024,3,3734291,1.24476e+06,2164.81,0
frontier,probe,64,576,575,4096,3,1553115,517705,900.357,0
frontier,noprobe,64,576,575,4096,3,1147057,382352,664.961,0
frontier,oneway,64,576,575,4096,3,2704510,901503,1567.83,0
frontier,probe,64,576,575,16384,3,1024118,341373,593.692,0
frontier,noprobe,64,576,575,16384,3,1149556,383185,666.409,0
frontier,oneway,64,576,575,16384,3,2260164,753388,1310.24,0
