system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,naive,uniform,10,20,1024,9216,9215,-1,13021590,20.0708,648784
frontier,naive,uniform,100,20,1024,9216,9215,-1,5780638,20.1352,287091
frontier,naive,uniform,1000,20,1024,9216,9215,-1,4670923,20.1638,231649
frontier,naive,uniform,10000,20,1024,9216,9215,-1,4651516,20.1412,230945
frontier,naive,uniform,100000,20,1024,9216,9215,-1,1875984,20.516,91440.2
frontier,naive,uniform,1000000,20,1024,9216,9215,-1,226615,25.9001,8749.57
frontier,hierarchical,uniform,10,20,1024,9216,9215,-1,23090730,20.0227,1.15323e+06
frontier,hierarchical,uniform,100,20,1024,9216,9215,-1,17298110,20.0422,863086
frontier,hierarchical,uniform,1000,20,1024,9216,9215,-1,13747680,20.0592,685354
frontier,hierarchical,uniform,10000,20,1024,9216,9215,-1,16424164,20.1005,817101
frontier,hierarchical,uniform,100000,20,1024,9216,9215,-1,1705860,21.1764,80554.7
frontier,hierarchical,uniform,1000000,20,1024,9216,9215,-1,233104,31.5661,7384.63
frontier,hierarchical,uniform,10,20,1024,9216,9215,0,17068304,20.0683,850510
frontier,hierarchical,uniform,100,20,1024,9216,9215,0,8882422,20.1008,441894
frontier,hierarchical,uniform,1000,20,1024,9216,9215,0,7777612,20.1013,386922
frontier,hierarchical,uniform,10000,20,1024,9216,9215,0,16427076,20.0972,817382
frontier,hierarchical,uniform,100000,20,1024,9216,9215,0,1700108,21.0707,80685.8
frontier,hierarchical,uniform,1000000,20,1024,9216,9215,0,230866,31.4237,7346.87
frontier,lockfree_rma,uniform,10,20,1024,9216,9215,-1,2512009,20.0059,125563
frontier,lockfree_rma,uniform,100,20,1024,9216,9215,-1,5794773,20.0061,289650
frontier,lockfree_rma,uniform,1000,20,1024,9216,9215,-1,10204872,20.0022,510188
frontier,lockfree_rma,uniform,10000,20,1024,9216,9215,-1,9821251,20.0041,490961
frontier,lockfree_rma,uniform,100000,20,1024,9216,9215,-1,1821199,20.0008,91056.2
frontier,lockfree_rma,uniform,1000000,20,1024,9216,9215,-1,172270,20.0001,8613.44
frontier,hierarchical_lockfree_rma,uniform,10,20,1024,9216,9215,-1,307065348,20.0008,1.53526e+07
frontier,hierarchical_lockfree_rma,uniform,100,20,1024,9216,9215,-1,312369499,20.0003,1.56182e+07
frontier,hierarchical_lockfree_rma,uniform,1000,20,1024,9216,9215,-1,137645623,20.0012,6.88188e+06
frontier,hierarchical_lockfree_rma,uniform,10000,20,1024,9216,9215,-1,15746454,20.0012,787274
frontier,hierarchical_lockfree_rma,uniform,100000,20,1024,9216,9215,-1,1587998,20.0011,79395.3
frontier,hierarchical_lockfree_rma,uniform,1000000,20,1024,9216,9215,-1,130607,20.0002,6530.28
frontier,hierarchical_lockfree_rma,uniform,10,20,1024,9216,9215,0,70000000,20.0107,3.49814e+06
frontier,hierarchical_lockfree_rma,uniform,100,20,1024,9216,9215,0,71332296,20.0009,3.56645e+06
frontier,hierarchical_lockfree_rma,uniform,1000,20,1024,9216,9215,0,69412097,20.0011,3.47042e+06
frontier,hierarchical_lockfree_rma,uniform,10000,20,1024,9216,9215,0,15949997,20.0022,797411
frontier,hierarchical_lockfree_rma,uniform,100000,20,1024,9216,9215,0,1610776,20.0011,80534.2
frontier,hierarchical_lockfree_rma,uniform,1000000,20,1024,9216,9215,0,137565,20.0004,6878.1
