system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,16,144,143,4,5,7505862,1.50117e+06,10497.7
frontier,noprobe,16,144,143,4,5,7195869,1.43917e+06,10064.2
frontier,oneway,16,144,143,4,5,11196574,2.23931e+06,15659.5
