system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,8,72,71,4,5,7353375,1.47068e+06,20713.7
frontier,noprobe,8,72,71,4,5,7184435,1.43689e+06,20237.8
frontier,oneway,8,72,71,4,5,11984443,2.39689e+06,33759
