system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,hierarchical,fixed,10,20,256,2304,2303,4,19790892,20.0093,989083
frontier,hierarchical,fixed,100,20,256,2304,2303,4,14348714,20.0112,717034
frontier,hierarchical,fixed,1000,20,256,2304,2303,4,40774636,20.0109,2.03762e+06
frontier,hierarchical,uniform,10,20,256,2304,2303,4,20577584,20.0057,1.02859e+06
frontier,hierarchical,uniform,100,20,256,2304,2303,4,14467822,20.0109,722996
frontier,hierarchical,uniform,1000,20,256,2304,2303,4,40789038,20.0106,2.03837e+06
frontier,hierarchical_lockfree_rma,fixed,10,20,256,2304,2303,4,19109944,20.0009,955455
frontier,hierarchical_lockfree_rma,fixed,100,20,256,2304,2303,4,15497620,20.0012,774836
frontier,hierarchical_lockfree_rma,fixed,1000,20,256,2304,2303,4,3637902,20.0013,181883
frontier,hierarchical_lockfree_rma,uniform,10,20,256,2304,2303,4,19161864,20.001,958045
frontier,hierarchical_lockfree_rma,uniform,100,20,256,2304,2303,4,15297172,20.0015,764800
frontier,hierarchical_lockfree_rma,uniform,1000,20,256,2304,2303,4,3327830,20.0011,166382
frontier,hierarchical,fixed,10,20,256,14336,14335,4,34477446,20.035,1.72086e+06
frontier,hierarchical,fixed,100,20,256,14336,14335,4,24086806,20.031,1.20248e+06
frontier,hierarchical,fixed,1000,20,256,14336,14335,4,24822946,20.0624,1.23728e+06
frontier,hierarchical,uniform,10,20,256,14336,14335,4,34330552,20.0219,1.71465e+06
frontier,hierarchical,uniform,100,20,256,14336,14335,4,24196998,20.047,1.20702e+06
frontier,hierarchical,uniform,1000,20,256,14336,14335,4,26012350,20.0344,1.29838e+06
frontier,hierarchical_lockfree_rma,fixed,10,20,256,14336,14335,4,56490483,20.0004,2.82447e+06
frontier,hierarchical_lockfree_rma,fixed,100,20,256,14336,14335,4,60000000,20.0164,2.99754e+06
frontier,hierarchical_lockfree_rma,fixed,1000,20,256,14336,14335,4,20948340,20.0008,1.04738e+06
frontier,hierarchical_lockfree_rma,uniform,10,20,256,14336,14335,4,56234046,20.0003,2.81166e+06
frontier,hierarchical_lockfree_rma,uniform,100,20,256,14336,14335,4,57738760,20.0013,2.88676e+06
frontier,hierarchical_lockfree_rma,uniform,1000,20,256,14336,14335,4,20051111,20.0002,1.00255e+06
