system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
aurora,naive,uniform,10,20,512,52224,52223,0,13931947,20.6308,675300
aurora,naive,uniform,100,20,512,52224,52223,0,12160590,20.6736,588217
aurora,naive,uniform,1000,20,512,52224,52223,0,7748581,20.4862,378235
aurora,naive,uniform,10000,20,512,52224,52223,0,7463861,20.6303,361792
aurora,naive,uniform,100000,20,512,52224,52223,0,7535448,20.7197,363685
aurora,naive,uniform,1000000,20,512,52224,52223,0,1225687,26.267,46662.6
aurora,hierarchical,uniform,10,20,512,52224,52223,0,28445460,20.4803,1.38891e+06
aurora,hierarchical,uniform,100,20,512,52224,52223,0,31333862,20.4219,1.53433e+06
aurora,hierarchical,uniform,1000,20,512,52224,52223,0,21097978,20.564,1.02597e+06
aurora,hierarchical,uniform,10000,20,512,52224,52223,0,19683354,20.6869,951491
aurora,hierarchical,uniform,100000,20,512,52224,52223,0,9671182,21.2894,454271
aurora,hierarchical,uniform,1000000,20,512,52224,52223,0,1435614,30.0805,47725.8
aurora,hierarchical,uniform,10,20,512,52224,52223,-1,25771058,20.4711,1.2589e+06
aurora,hierarchical,uniform,100,20,512,52224,52223,-1,28571186,20.4628,1.39625e+06
aurora,hierarchical,uniform,1000,20,512,52224,52223,-1,53558856,20.5047,2.61203e+06
aurora,hierarchical,uniform,10000,20,512,52224,52223,-1,45024726,20.8744,2.15693e+06
aurora,hierarchical,uniform,100000,20,512,52224,52223,-1,8471946,21.5051,393951
aurora,hierarchical,uniform,1000000,20,512,52224,52223,-1,1376000,30.5091,45101.3
aurora,lockfree_rma,uniform,10,20,512,52224,52223,0,2098974,20.0395,104742
aurora,lockfree_rma,uniform,100,20,512,52224,52223,0,2100099,20.1012,104477
aurora,lockfree_rma,uniform,1000,20,512,52224,52223,0,2307093,20.0004,115352
aurora,lockfree_rma,uniform,10000,20,512,52224,52223,0,2252927,20.0911,112136
aurora,lockfree_rma,uniform,100000,20,512,52224,52223,0,1972235,20.0322,98453.3
aurora,lockfree_rma,uniform,1000000,20,512,52224,52223,0,933379,20.086,46469
aurora,hierarchical_lockfree_rma,uniform,10,20,512,52224,52223,0,252807944,20.0012,1.26396e+07
aurora,hierarchical_lockfree_rma,uniform,100,20,512,52224,52223,0,257194222,20.001,1.28591e+07
aurora,hierarchical_lockfree_rma,uniform,1000,20,512,52224,52223,0,320000000,20.0159,1.59873e+07
aurora,hierarchical_lockfree_rma,uniform,10000,20,512,52224,52223,0,92156585,20.0007,4.60767e+06
aurora,hierarchical_lockfree_rma,uniform,100000,20,512,52224,52223,0,9726659,20.0017,486292
aurora,hierarchical_lockfree_rma,uniform,1000000,20,512,52224,52223,0,912797,20.0018,45635.8
aurora,hierarchical_lockfree_rma,uniform,10,20,512,52224,52223,-1,225102775,20.0011,1.12545e+07
aurora,hierarchical_lockfree_rma,uniform,100,20,512,52224,52223,-1,234000000,20.0096,1.16944e+07
aurora,hierarchical_lockfree_rma,uniform,1000,20,512,52224,52223,-1,254713856,20.001,1.2735e+07
aurora,hierarchical_lockfree_rma,uniform,10000,20,512,52224,52223,-1,89921853,20.0017,4.49572e+06
aurora,hierarchical_lockfree_rma,uniform,100000,20,512,52224,52223,-1,9608288,20.0017,480374
aurora,hierarchical_lockfree_rma,uniform,1000000,20,512,52224,52223,-1,884884,20.0012,44241.7
