src_rank,dst_rank,direction,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps
0,2,b->a,512,100,1.4761500006e-06,7.38075000299e-07,693.696439782
0,2,a->b,1024,100,1.57684999976e-06,7.88424999882e-07,1298.79189543
0,2,b->a,1024,100,1.6083100013e-06,8.04155000651e-07,1273.38634862
0,2,a->b,2048,100,2.2385300008e-06,1.1192650004e-06,1829.77221594
0,2,b->a,2048,100,2.1596800002e-06,1.0798400001e-06,1896.57727053
0,2,a->b,4096,100,4.70900999971e-06,2.35450499986e-06,1739.64378935
0,2,b->a,4096,100,3.03898000084e-06,1.51949000042e-06,2695.64129996
0,2,a->b,8192,100,4.01056000101e-06,2.0052800005e-06,4085.21503129
0,2,b->a,8192,100,4.10484999975e-06,2.05242499987e-06,3991.3760554
0,2,a->b,16384,100,6.57933000184e-06,3.28966500092e-06,4980.44633585
0,2,b->a,16384,100,6.75416000149e-06,3.37708000075e-06,4851.52853838
0,2,a->b,32768,100,1.13263100002e-05,5.66315500009e-06,5786.17396124
0,2,b->a,32768,100,1.12452500002e-05,5.62262500011e-06,5827.88288377
0,2,a->b,65536,100,2.076407e-05,1.0382035e-05,6312.44259915
0,2,b->a,65536,100,2.02891499998e-05,1.01445749999e-05,6460.20163492
0,2,a->b,131072,100,3.80902000006e-05,1.90451000003e-05,6882.19016954
0,2,b->a,131072,100,3.803629e-05,1.9018145e-05,6891.94450878
0,2,a->b,262144,100,7.31367100002e-05,3.65683550001e-05,7168.60247061
0,2,b->a,262144,100,7.32234599991e-05,3.66117299995e-05,7160.10961523
0,2,a->b,524288,100,0.00013966172,6.98308599999e-05,7507.96997202
0,2,b->a,524288,100,0.00014124437,7.06221849998e-05,7423.84280522
0,2,a->b,1048576,100,0.000274974599999,0.0001374873,7626.71170357
0,2,b->a,1048576,100,0.00027411645,0.000137058225,7650.58791619
0,2,a->b,2097152,100,0.000541932599999,0.0002709663,7739.53070918
0,2,b->a,2097152,100,0.00054338832,0.00027169416,7718.79675294
0,2,a->b,4194304,100,0.00107214724,0.000536073620001,7824.1193812
0,2,b->a,4194304,100,0.00107132195,0.000535660975,7830.14667066
0,2,a->b,8388608,100,0.00208602855,0.001043014275,8042.65886006
0,2,b->a,8388608,100,0.00209148802,0.00104574401,8021.66488144
0,2,a->b,16777216,100,0.0027524937,0.00137624685,12190.5572391
0,2,b->a,16777216,100,0.00274476465,0.001372382325,12224.8849278
0,2,a->b,33554432,100,0.00389846788,0.00194923394,17214.1636319
0,2,b->a,33554432,100,0.00390960493,0.001954802465,17165.1267076
0,3,a->b,1,100,1.67623999914e-06,8.38119999571e-07,1.19314656673
0,3,b->a,1,100,8.64169999204e-07,4.32084999602e-07,2.3143594453
0,3,a->b,2,100,8.53950000419e-07,4.26975000209e-07,4.68411499272
0,3,b->a,2,100,8.48039999255e-07,4.24019999627e-07,4.7167586476
0,3,a->b,4,100,8.32910000099e-07,4.1645500005e-07,9.60487927753
0,3,b->a,4,100,8.61470000473e-07,4.30735000236e-07,9.28645222191
0,3,a->b,8,100,8.48940001106e-07,4.24470000553e-07,18.8470327457
0,3,b->a,8,100,8.36419999359e-07,4.1820999968e-07,19.1291456592
0,3,a->b,16,100,8.41930000206e-07,4.20965000103e-07,38.007910387
0,3,b->a,16,100,8.72079999681e-07,4.3603999984e-07,36.6938813087
0,3,a->b,32,100,9.99629999114e-07,4.99814999557e-07,64.0236888216
0,3,b->a,32,100,1.0003400007e-06,5.0017000035e-07,63.9782473511
0,3,a->b,64,100,1.13950000014e-06,5.69750000068e-07,112.329969271
0,3,b->a,64,100,1.17026999988e-06,5.85134999938e-07,109.37646869
0,3,a->b,128,100,1.19902000051e-06,5.99510000256e-07,213.507697862
0,3,b->a,128,100,1.16025000125e-06,5.80125000624e-07,220.642102758
0,3,a->b,256,100,1.30361999936e-06,6.51809999681e-07,392.752489414
0,3,b->a,256,100,1.20472999924e-06,6.02364999622e-07,424.991492136
0,3,a->b,512,100,1.67213000168e-06,8.3606500084e-07,612.392576517
0,3,b->a,512,100,1.46803999996e-06,7.34019999982e-07,697.52867771
0,3,a->b,1024,100,1.97451999838e-06,9.87259999192e-07,1037.21410858
0,3,b->a,1024,100,1.58346000035e-06,7.91730000174e-07,1293.37021431
0,3,a->b,2048,100,2.71325000085e-06,1.35662500043e-06,1509.62867363
0,3,b->a,2048,100,2.15927999989e-06,1.07963999994e-06,1896.92860593
0,3,a->b,4096,100,3.38204999935e-06,1.69102499967e-06,2422.19955399
0,3,b->a,4096,100,3.18615999959e-06,1.59307999979e-06,2571.12009474
0,3,a->b,8192,100,4.07077000091e-06,2.03538500045e-06,4024.79137764
0,3,b->a,8192,100,4.25463000056e-06,2.12731500028e-06,3850.86364686
0,3,a->b,16384,100,6.54145999988e-06,3.27072999994e-06,5009.27927414
0,3,b->a,16384,100,6.56599999957e-06,3.28299999978e-06,4990.55741733
0,3,a->b,32768,100,1.17706699984e-05,5.88533499922e-06,5567.73743624
0,3,b->a,32768,100,1.17722799996e-05,5.8861399998e-06,5566.97598105
0,3,a->b,65536,100,2.07828099997e-05,1.03914049998e-05,6306.75062718
0,3,b->a,65536,100,2.08493399987e-05,1.04246699993e-05,6286.62586002
0,3,a->b,131072,100,3.93183699998e-05,1.96591849999e-05,6667.21433267
0,3,b->a,131072,100,3.91704899994e-05,1.95852449997e-05,6692.38500729
0,3,a->b,262144,100,7.62038400012e-05,3.81019200006e-05,6880.07323505
0,3,b->a,262144,100,7.61877000014e-05,3.80938500007e-05,6881.53074565
0,3,a->b,524288,100,0.0001459611,7.29805499998e-05,7183.94147484
0,3,b->a,524288,100,0.000144838229999,7.24191149993e-05,7239.63555761
0,3,a->b,1048576,100,0.000280373149999,0.000140186574999,7479.86032189
0,3,b->a,1048576,100,0.00028058807,0.000140294035,7474.13102774
0,3,a->b,2097152,100,0.000551979440002,0.000275989720001,7598.65983412
0,3,b->a,2097152,100,0.00055226169,0.000276130845,7594.77630976
0,3,a->b,4194304,100,0.00109758827,0.000548794135,7642.76389361
0,3,b->a,4194304,100,0.00109959644,0.000549798220001,7628.80607361
0,3,a->b,8388608,100,0.00215042916,0.00107521458,7801.79896742
0,3,b->a,8388608,100,0.00215095778,0.00107547889,7799.88159507
0,3,a->b,16777216,100,0.00272233274,0.00136116637,12325.6174776
0,3,b->a,16777216,100,0.0027342454,0.0013671227,12271.9167782
0,3,a->b,33554432,100,0.00385050148,0.00192525074,17428.6036114
0,3,b->a,33554432,100,0.00388269857,0.001941349285,17284.0777593
0,4,a->b,1,100,1.71782000052e-06,8.58910000261e-07,1.16426633721
0,4,b->a,1,100,1.0092499997e-06,5.04624999849e-07,1.9816695572
0,4,a->b,2,100,1.00062999991e-06,5.00314999954e-07,3.99748158697
0,4,b->a,2,100,9.84499999959e-07,4.92249999979e-07,4.06297613019
0,4,a->b,4,100,9.79800001915e-07,4.89900000957e-07,8.16493160274
0,4,b->a,4,100,9.73579999481e-07,4.86789999741e-07,8.21709567191
0,4,a->b,8,100,9.97530000859e-07,4.9876500043e-07,16.0396178423
0,4,b->a,8,100,9.7839000091e-07,4.89195000455e-07,16.353396892
0,4,a->b,16,100,9.98040000013e-07,4.99020000007e-07,32.0628431722
0,4,b->a,16,100,9.99040000806e-07,4.99520000403e-07,32.0307494937
0,4,a->b,32,100,1.11515999834e-06,5.57579999168e-07,57.3908677639
0,4,b->a,32,100,1.16505000051e-06,5.82525000254e-07,54.9332646428
0,4,a->b,64,100,1.38428000128e-06,6.92140000638e-07,92.4668418832
0,4,b->a,64,100,1.36753999868e-06,6.83769999341e-07,93.5987248076
0,4,a->b,128,100,1.45601999975e-06,7.28009999875e-07,175.82176072
0,4,b->a,128,100,1.41442999848e-06,7.07214999238e-07,180.991636402
0,4,a->b,256,100,1.40381999927e-06,7.01909999634e-07,364.719123724
0,4,b->a,256,100,1.39779999927e-06,6.98899999634e-07,366.289884296
0,4,a->b,512,100,1.73716000063e-06,8.68580000315e-07,589.46786688
0,4,b->a,512,100,1.69217000121e-06,8.46085000603e-07,605.140145062
0,4,a->b,1024,100,1.70679999883e-06,8.53399999414e-07,1199.90625815
0,4,b->a,1024,100,1.76642000042e-06,8.83210000211e-07,1159.40716223
0,4,a->b,2048,100,2.51186000014e-06,1.25593000007e-06,1630.66412928
0,4,b->a,2048,100,2.41217000166e-06,1.20608500083e-06,1698.05610599
0,4,a->b,4096,100,5.33722e-06,2.66861e-06,1534.88145514
0,4,b->a,4096,100,3.62060000043e-06,1.81030000022e-06,2262.60840718
0,4,a->b,8192,100,4.60760999886e-06,2.30380499943e-06,3555.85650783
0,4,b->a,8192,100,4.82833999968e-06,2.41416999984e-06,3393.2987323
0,4,a->b,16384,100,7.27637000182e-06,3.63818500091e-06,4503.34438625
0,4,b->a,16384,100,7.33218999812e-06,3.66609499906e-06,4469.06040465
0,4,a->b,32768,100,1.27545800001e-05,6.37729000005e-06,5138.23269755
0,4,b->a,32768,100,1.2588149998e-05,6.294074999e-06,5206.16611737
0,4,a->b,65536,100,2.28204500013e-05,1.14102250006e-05,5743.62030515
0,4,b->a,65536,100,2.30451800007e-05,1.15225900004e-05,5687.61016385
0,4,a->b,131072,100,4.41061300012e-05,2.20530650006e-05,5943.48223236
0,4,b->a,131072,100,4.39036399985e-05,2.19518199992e-05,5970.89444085
0,4,a->b,262144,100,8.2549509998e-05,4.1274754999e-05,6351.19457417
0,4,b->a,262144,100,8.06314100009e-05,4.03157050005e-05,6502.27994269
0,4,a->b,524288,100,0.000152459169999,7.62295849995e-05,6877.74962967
0,4,b->a,524288,100,0.000152856440002,7.64282200009e-05,6859.87453317
0,4,a->b,1048576,100,0.000296196270001,0.000148098135001,7080.27822225
0,4,b->a,1048576,100,0.000299132549999,0.000149566274999,7010.77833224
0,4,a->b,2097152,100,0.000585404219999,0.000292702109999,7164.79973446
0,4,b->a,2097152,100,0.000582674530001,0.000291337265,7198.36509757
0,4,a->b,4194304,100,0.00115378429,0.000576892145,7270.51674451
0,4,b->a,4194304,100,0.00116041181,0.000580205905,7228.99226612
0,4,a->b,8388608,100,0.00230867553,0.001154337765,7267.03072042
0,4,b->a,8388608,100,0.00232436166,0.00116218083,7217.98861543
0,4,a->b,16777216,100,0.00299428701,0.001497143505,11206.150876
0,4,b->a,16777216,100,0.00300603314,0.00150301657,11162.3626345
0,4,a->b,33554432,100,0.00412225677,0.002061128385,16279.6418914
0,4,b->a,33554432,100,0.00414456522,0.00207228261,16192.0154317
0,5,a->b,1,100,1.80949999958e-06,9.04749999791e-07,1.10527770128
0,5,b->a,1,100,9.31609999952e-07,4.65804999976e-07,2.14682109477
0,5,a->b,2,100,9.34009999582e-07,4.67004999791e-07,4.28260939582
0,5,b->a,2,100,9.20580000638e-07,4.60290000319e-07,4.3450867901
0,5,a->b,4,100,9.3201000027e-07,4.66005000135e-07,8.58359888594
0,5,b->a,4,100,9.44129999425e-07,4.72064999713e-07,8.47340938734
0,5,a->b,8,100,9.27090000005e-07,4.63545000002e-07,17.2583028616
0,5,b->a,8,100,9.19080000585e-07,4.59540000293e-07,17.4087130498
0,5,a->b,16,100,9.10559999738e-07,4.55279999869e-07,35.143208585
0,5,b->a,16,100,9.20580000638e-07,4.60290000319e-07,34.7606943208
0,5,a->b,32,100,1.06505999838e-06,5.32529999191e-07,60.090511424
0,5,b->a,32,100,1.0611499988e-06,5.30574999402e-07,60.3119258089
0,5,a->b,64,100,1.27195999994e-06,6.3597999997e-07,100.632095354
0,5,b->a,64,100,1.33478999942e-06,6.67394999709e-07,95.8952344981
0,5,a->b,128,100,1.38047000064e-06,6.9023500032e-07,185.444087797
0,5,b->a,128,100,1.32595999958e-06,6.62979999788e-07,193.067664245
0,5,a->b,256,100,1.44169000123e-06,7.20845000615e-07,355.138760457
0,5,b->a,256,100,1.40903000101e-06,7.04515000507e-07,363.370545433
0,5,a->b,512,100,1.81201000032e-06,9.06005000161e-07,565.118293949
0,5,b->a,512,100,1.61471999945e-06,8.07359999726e-07,634.165675998
0,5,a->b,1024,100,2.1083799993e-06,1.05418999965e-06,971.361899032
0,5,b->a,1024,100,1.68596000094e-06,8.42980000471e-07,1214.73819003
0,5,a->b,2048,100,2.91012999924e-06,1.45506499962e-06,1407.49725994
0,5,b->a,2048,100,2.3123699998e-06,1.1561849999e-06,1771.34282159
0,5,a->b,4096,100,3.60397000122e-06,1.80198500061e-06,2273.04888698
0,5,b->a,4096,100,3.37002000151e-06,1.68501000076e-06,2430.84610665
0,5,a->b,8192,100,4.33919999978e-06,2.16959999989e-06,3775.81120963
0,5,b->a,8192,100,4.50411999964e-06,2.25205999982e-06,3637.55850229
0,5,a->b,16384,100,7.10204000143e-06,3.55102000071e-06,4613.88558688
0,5,b->a,16384,100,7.12187999852e-06,3.56093999926e-06,4601.03231265
0,5,a->b,32768,100,1.24512899993e-05,6.22564499963e-06,5263.39037994
0,5,b->a,32768,100,1.23057099995e-05,6.15285499975e-06,5325.65776397
0,5,a->b,65536,100,2.24063499991e-05,1.12031749995e-05,5849.77026626
0,5,b->a,65536,100,2.244432e-05,1.122216e-05,5839.87396366
0,5,a->b,131072,100,4.32776299999e-05,2.1638815e-05,6057.26330209
0,5,b->a,131072,100,4.23345100012e-05,2.11672550006e-05,6192.20583852
0,5,a->b,262144,100,8.27362799987e-05,4.13681399993e-05,6336.85730139
0,5,b->a,262144,100,8.28197400006e-05,4.14098700003e-05,6330.47145519
0,5,a->b,524288,100,0.000155618180002,7.78090900008e-05,6738.13303812
0,5,b->a,524288,100,0.00015471363,7.73568149998e-05,6777.52826304
0,5,a->b,1048576,100,0.000299811060002,0.000149905530001,6994.91206225
0,5,b->a,1048576,100,0.00030090948,0.00015045474,6969.37829943
0,5,a->b,2097152,100,0.00058969572,0.00029484786,7112.65803319
0,5,b->a,2097152,100,0.0005924796,0.0002962398,7079.23783367
0,5,a->b,4194304,100,0.00118494307,0.000592471535,7079.33419958
0,5,b->a,4194304,100,0.00117657338,0.00058828669,7129.69385725
0,5,a->b,8388608,100,0.00230652586,0.00115326293,7273.80355493
0,5,b->a,8388608,100,0.00230026305,0.001150131525,7293.6075724
0,5,a->b,16777216,100,0.00301031302,0.00150515651,11146.4926661
0,5,b->a,16777216,100,0.00299599703,0.001497998515,11199.7547608
0,5,a->b,33554432,100,0.0041216589,0.00206082945,16282.0033458
0,5,b->a,33554432,100,0.00413932188,0.00206966094,16212.5260962
0,6,a->b,1,100,1.69759000073e-06,8.48795000365e-07,1.17814077553
0,6,b->a,1,100,9.52740001594e-07,4.76370000797e-07,2.09920859485
0,6,a->b,2,100,9.31199999741e-07,4.6559999987e-07,4.29553264724
0,6,b->a,2,100,9.2149000011e-07,4.60745000055e-07,4.34079588441
0,6,a->b,4,100,9.22389999687e-07,4.61194999843e-07,8.67312091709
0,6,b->a,4,100,9.25090000692e-07,4.62545000346e-07,8.64780723391
0,6,a->b,8,100,9.35510001909e-07,4.67755000955e-07,17.1029705373
0,6,b->a,8,100,9.67769999534e-07,4.83884999767e-07,16.5328538885
0,6,a->b,16,100,9.40120000905e-07,4.70060000453e-07,34.0382078556
0,6,b->a,16,100,9.28199999635e-07,4.64099999817e-07,34.4753286065
0,6,a->b,32,100,1.04763000081e-06,5.23815000406e-07,61.0902703725
0,6,b->a,32,100,1.06986999981e-06,5.34934999905e-07,59.820352016
0,6,a->b,64,100,1.20803000073e-06,6.04015000363e-07,105.957633439
0,6,b->a,64,100,1.34449999905e-06,6.72249999525e-07,95.2026776426
0,6,a->b,128,100,1.33939000079e-06,6.69695000397e-07,191.131783758
0,6,b->a,128,100,1.30833999947e-06,6.54169999734e-07,195.667792855
0,6,a->b,256,100,1.29040000047e-06,6.45200000235e-07,396.776193284
0,6,b->a,256,100,1.29930999947e-06,6.49654999734e-07,394.055306439
0,6,a->b,512,100,1.66351000189e-06,8.31755000945e-07,615.565881081
0,6,b->a,512,100,1.63395999834e-06,8.16979999172e-07,626.698328624
0,6,a->b,1024,100,1.72554000073e-06,8.62770000367e-07,1186.87483288
0,6,b->a,1024,100,1.73125000174e-06,8.6562500087e-07,1182.96028762
0,6,a->b,2048,100,2.4901200004e-06,1.2450600002e-06,1644.90064709
0,6,b->a,2048,100,2.35806000092e-06,1.17903000046e-06,1737.0211099
0,6,a->b,4096,100,5.16529000151e-06,2.58264500076e-06,1585.97097116
0,6,b->a,4096,100,3.52892999899e-06,1.7644649995e-06,2321.38353618
0,6,a->b,8192,100,4.54308999906e-06,2.27154499953e-06,3606.35602715
0,6,b->a,8192,100,4.75079999887e-06,2.37539999944e-06,3448.682328
