src_rank,dst_rank,method,direction,locality,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps,send_call_total_seconds
0,1,send,b->a,intranode,64,100,1.16651999974e-06,5.83259999871e-07,109.728080126,3.40690000371e-05
0,1,isend,a->b,intranode,64,100,1.05160000004e-06,5.2580000002e-07,121.719284895,2.11739998122e-05
0,1,isend,b->a,intranode,64,100,1.06071999994e-06,5.30359999971e-07,120.672750591,2.10579999873e-05
0,1,bsend,a->b,intranode,64,100,1.31841000012e-06,6.59205000062e-07,97.0866422342,4.17850001497e-05
0,1,bsend,b->a,intranode,64,100,1.38012999997e-06,6.90064999986e-07,92.7448863531,4.40019998962e-05
0,1,ssend,a->b,intranode,64,100,1.72729000013e-06,8.63645000067e-07,74.104522107,0.000133632999848
0,1,ssend,b->a,intranode,64,100,1.71686999977e-06,8.58434999884e-07,74.5542761055,0.000135238000126
0,1,send,a->b,intranode,128,100,1.24837000016e-06,6.24185000078e-07,205.067407874,3.58149999045e-05
0,1,send,b->a,intranode,128,100,1.23905000009e-06,6.19525000047e-07,206.609902732,3.28370001057e-05
0,1,isend,a->b,intranode,128,100,1.05471000012e-06,5.2735500006e-07,242.720747856,2.21669999121e-05
0,1,isend,b->a,intranode,128,100,1.03467000002e-06,5.17335000012e-07,247.4218833,2.09690000474e-05
0,1,bsend,a->b,intranode,128,100,1.37340999999e-06,6.86704999993e-07,186.397361314,4.73929998179e-05
0,1,bsend,b->a,intranode,128,100,1.41409000008e-06,7.07045000041e-07,181.035153339,4.27999997896e-05
0,1,ssend,a->b,intranode,128,100,1.80273000012e-06,9.01365000061e-07,142.006845164,0.000144557000169
0,1,ssend,b->a,intranode,128,100,1.76476000007e-06,8.82380000036e-07,145.062218086,0.00013825500011
0,1,send,a->b,intranode,256,100,1.32130999987e-06,6.60654999933e-07,387.494229251,3.23919999516e-05
0,1,send,b->a,intranode,256,100,1.1308500001e-06,5.65425000048e-07,452.756775838,3.29639999563e-05
0,1,isend,a->b,intranode,256,100,1.2498800001e-06,6.24940000051e-07,409.639325342,3.21889999668e-05
0,1,isend,b->a,intranode,256,100,1.23785e-06,6.18924999998e-07,413.620390194,3.32840000397e-05
0,1,bsend,a->b,intranode,256,100,1.40607999981e-06,7.03039999905e-07,364.132908561,4.32919999014e-05
0,1,bsend,b->a,intranode,256,100,1.47751000014e-06,7.38755000071e-07,346.528957469,4.50660000695e-05
0,1,ssend,a->b,intranode,256,100,1.80693999994e-06,9.03469999969e-07,283.351965211,0.000144829999925
0,1,ssend,b->a,intranode,256,100,1.77207999997e-06,8.86039999983e-07,288.926007861,0.000140184999793
0,1,send,a->b,intranode,512,100,1.62869999997e-06,8.14349999985e-07,628.722293866,3.31250000727e-05
0,1,send,b->a,intranode,512,100,1.33925e-06,6.69625e-07,764.607056188,3.54630000459e-05
0,1,isend,a->b,intranode,512,100,1.42481000012e-06,7.12405000058e-07,718.692316811,3.21840000197e-05
0,1,isend,b->a,intranode,512,100,1.3872400001e-06,6.9362000005e-07,738.156339153,3.39769998732e-05
0,1,bsend,a->b,intranode,512,100,1.58241000008e-06,7.91205000041e-07,647.114211833,4.34300000336e-05
0,1,bsend,b->a,intranode,512,100,1.68049999985e-06,8.40249999925e-07,609.342457656,4.89549999543e-05
0,1,ssend,a->b,intranode,512,100,1.88339000005e-06,9.41695000023e-07,543.700455017,0.000148959000057
0,1,ssend,b->a,intranode,512,100,1.99579999986e-06,9.9789999993e-07,513.077462707,0.000158691000081
