system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,1,9,8,4,5,7844741,1.56895e+06,196119
frontier,noprobe,1,9,8,4,5,10275121,2.05502e+06,256878
frontier,oneway,1,9,8,4,5,23586376,4.71728e+06,589659
