system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
aurora,naive,uniform,10,20,16,112,111,-1,15634414,20.0006,781698
aurora,hierarchical,uniform,10,20,16,112,111,0,32913210,20.0003,1.64563e+06
aurora,hierarchical,uniform,10,20,16,112,111,-1,33139202,20.0004,1.65693e+06
aurora,lockfree_rma,uniform,10,20,16,112,111,-1,5031112,20.0002,251553
aurora,hierarchical_lockfree_rma,uniform,10,20,16,112,111,0,12977000,20.0001,648847
aurora,hierarchical_lockfree_rma,uniform,10,20,16,112,111,-1,12961786,20.0001,648086
aurora,naive,uniform,100,20,16,112,111,-1,14137368,20.0007,706844
aurora,hierarchical,uniform,100,20,16,112,111,0,18616848,20.001,930797
aurora,hierarchical,uniform,100,20,16,112,111,-1,18620094,20.0008,930966
aurora,lockfree_rma,uniform,100,20,16,112,111,-1,4601941,20,230097
aurora,hierarchical_lockfree_rma,uniform,100,20,16,112,111,0,12013456,20.0001,600671
aurora,hierarchical_lockfree_rma,uniform,100,20,16,112,111,-1,12010549,20.0001,600525
aurora,naive,uniform,1000,20,16,112,111,-1,2199125,20.004,109934
aurora,hierarchical,uniform,1000,20,16,112,111,0,1896838,20.0095,94796.9
aurora,hierarchical,uniform,1000,20,16,112,111,-1,1895466,20.0109,94721.7
aurora,lockfree_rma,uniform,1000,20,16,112,111,-1,1905083,20.0001,95253.5
aurora,hierarchical_lockfree_rma,uniform,1000,20,16,112,111,0,1803636,20.0001,90181.2
aurora,hierarchical_lockfree_rma,uniform,1000,20,16,112,111,-1,1804227,20.0001,90210.8
aurora,naive,uniform,10000,20,16,112,111,-1,222061,20.0505,11075.1
aurora,hierarchical,uniform,10000,20,16,112,111,0,190880,20.0891,9501.68
aurora,hierarchical,uniform,10000,20,16,112,111,-1,190662,20.093,9488.99
aurora,lockfree_rma,uniform,10000,20,16,112,111,-1,218179,20.0002,10908.9
aurora,hierarchical_lockfree_rma,uniform,10000,20,16,112,111,0,188323,20.0001,9416.08
aurora,hierarchical_lockfree_rma,uniform,10000,20,16,112,111,-1,188724,20.0001,9436.15
aurora,naive,uniform,100000,20,16,112,111,-1,22694,20.5461,1104.54
aurora,hierarchical,uniform,100000,20,16,112,111,0,19848,21.0772,941.679
aurora,hierarchical,uniform,100000,20,16,112,111,-1,19770,20.9241,944.842
aurora,lockfree_rma,uniform,100000,20,16,112,111,-1,22038,20,1101.9
aurora,hierarchical_lockfree_rma,uniform,100000,20,16,112,111,0,18524,20.0001,926.194
aurora,hierarchical_lockfree_rma,uniform,100000,20,16,112,111,-1,18879,20,943.949
aurora,naive,uniform,1000000,20,16,112,111,-1,2764,25.7264,107.438
aurora,hierarchical,uniform,1000000,20,16,112,111,0,2666,30.1456,88.4375
aurora,hierarchical,uniform,1000000,20,16,112,111,-1,2690,29.9351,89.8609
aurora,lockfree_rma,uniform,1000000,20,16,112,111,-1,2106,20.0001,105.299
aurora,hierarchical_lockfree_rma,uniform,1000000,20,16,112,111,0,1805,20.0001,90.2496
aurora,hierarchical_lockfree_rma,uniform,1000000,20,16,112,111,-1,1745,20.0001,87.2498
aurora,naive,uniform,10,20,32,224,223,-1,15560546,20.0013,777978
aurora,hierarchical,uniform,10,20,32,224,223,0,32784070,20.0006,1.63915e+06
aurora,hierarchical,uniform,10,20,32,224,223,-1,32677778,20.0008,1.63383e+06
aurora,lockfree_rma,uniform,10,20,32,224,223,-1,6456781,20.0004,322833
aurora,hierarchical_lockfree_rma,uniform,10,20,32,224,223,0,14127665,20.0001,706381
aurora,hierarchical_lockfree_rma,uniform,10,20,32,224,223,-1,14058941,20,702946
aurora,naive,uniform,100,20,32,224,223,-1,14015445,20.0011,700733
aurora,hierarchical,uniform,100,20,32,224,223,0,37419550,20.0009,1.87089e+06
aurora,hierarchical,uniform,100,20,32,224,223,-1,37419464,20.001,1.87088e+06
aurora,lockfree_rma,uniform,100,20,32,224,223,-1,6358033,20.0003,317897
aurora,hierarchical_lockfree_rma,uniform,100,20,32,224,223,0,14455565,20.0001,722773
aurora,hierarchical_lockfree_rma,uniform,100,20,32,224,223,-1,14477013,20.0001,723846
