system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker,exclude_root_node
frontier,probe,8,72,63,4,3,740055,246685,3915.63,1
frontier,noprobe,8,72,63,4,3,1245710,415237,6591.06,1
frontier,oneway,8,72,63,4,3,1439063,479688,7614.09,1
frontier,probe,8,72,63,64,3,730542,243514,3865.3,1
frontier,noprobe,8,72,63,64,3,1238768,412923,6554.33,1
frontier,oneway,8,72,63,64,3,1474173,491391,7799.86,1
frontier,probe,8,72,63,256,3,286548,95516,1516.13,1
frontier,noprobe,8,72,63,256,3,341602,113867,1807.42,1
frontier,oneway,8,72,63,256,3,1466131,488710,7757.31,1
frontier,probe,8,72,63,1024,3,284658,94886,1506.13,1
frontier,noprobe,8,72,63,1024,3,336625,112208,1781.08,1
frontier,oneway,8,72,63,1024,3,1438358,479453,7610.36,1
frontier,probe,8,72,63,4096,3,271305,90435,1435.48,1
frontier,noprobe,8,72,63,4096,3,321116,107039,1699.03,1
frontier,oneway,8,72,63,4096,3,1309649,436550,6929.36,1
frontier,probe,8,72,63,16384,3,232656,77552,1230.98,1
frontier,noprobe,8,72,63,16384,3,268672,89557.3,1421.54,1
frontier,oneway,8,72,63,16384,3,999111,333037,5286.3,1
