system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,naive,fixed,10,20,128,1152,1151,-1,12802708,20.011,639783
frontier,naive,fixed,100,20,128,1152,1151,-1,6087138,20.0158,304117
frontier,naive,fixed,1000,20,128,1152,1151,-1,4974133,20.0208,248449
frontier,naive,fixed,10000,20,128,1152,1151,-1,2303153,20.0444,114903
frontier,naive,fixed,100000,20,128,1152,1151,-1,233653,20.3087,11505.1
frontier,naive,fixed,1000000,20,128,1152,1151,-1,26473,23.0105,1150.47
frontier,naive,uniform,10,20,128,1152,1151,-1,13409102,20.008,670186
frontier,naive,uniform,100,20,128,1152,1151,-1,6087007,20.0148,304125
frontier,naive,uniform,1000,20,128,1152,1151,-1,4951755,20.0221,247315
frontier,naive,uniform,10000,20,128,1152,1151,-1,2302120,20.0579,114774
frontier,naive,uniform,100000,20,128,1152,1151,-1,234750,20.5081,11446.7
frontier,naive,uniform,1000000,20,128,1152,1151,-1,28322,25.9039,1093.35
frontier,hierarchical,fixed,10,20,128,1152,1151,-1,22469484,20.0049,1.1232e+06
frontier,hierarchical,fixed,100,20,128,1152,1151,-1,19014546,20.0047,950506
frontier,hierarchical,fixed,1000,20,128,1152,1151,-1,20398860,20.0091,1.01948e+06
frontier,hierarchical,fixed,10000,20,128,1152,1151,-1,2053168,20.0974,102161
frontier,hierarchical,fixed,100000,20,128,1152,1151,-1,211768,20.9015,10131.7
frontier,hierarchical,fixed,1000000,20,128,1152,1151,-1,27248,29.0004,939.572
frontier,hierarchical,uniform,10,20,128,1152,1151,-1,22825096,20.0046,1.14099e+06
frontier,hierarchical,uniform,100,20,128,1152,1151,-1,19012720,20.0046,950417
frontier,hierarchical,uniform,1000,20,128,1152,1151,-1,20405046,20.0112,1.01968e+06
frontier,hierarchical,uniform,10000,20,128,1152,1151,-1,2053952,20.1155,102108
frontier,hierarchical,uniform,100000,20,128,1152,1151,-1,212806,21.0966,10087.2
frontier,hierarchical,uniform,1000000,20,128,1152,1151,-1,28988,30.8692,939.06
frontier,hierarchical,fixed,10,20,128,1152,1151,0,17877916,20.0083,893523
frontier,hierarchical,fixed,100,20,128,1152,1151,0,9687242,20.0143,484016
