system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker
frontier,probe,4,36,35,4,5,7268568,1.45371e+06,41534.7
frontier,noprobe,4,36,35,4,5,7152288,1.43046e+06,40870.2
frontier,oneway,4,36,35,4,5,12166589,2.43332e+06,69523.4
