system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker,exclude_root_node
frontier,probe,8,72,63,4,5,1223427,244685,3883.9,1
frontier,noprobe,8,72,63,4,5,2077561,415512,6595.43,1
frontier,oneway,8,72,63,4,5,2376438,475288,7544.25,1
