system,mode,nodes,world_size,workers,payload_bytes,duration_s,completed,completed_per_s,completed_per_s_per_worker,exclude_root_node
frontier,probe,32,288,279,4,5,1217048,243410,872.436,1
frontier,noprobe,32,288,279,4,5,2045946,409189,1466.63,1
frontier,oneway,32,288,279,4,5,1130738,226148,810.565,1
