system,distributor,mode,expected_us,duration_s,nodes,world_size,workers,max_upper_fanout,total_tasks,elapsed_s,throughput_tasks_per_s
frontier,hierarchical,fixed,10,20,8,72,71,4,20486682,20.0004,1.02431e+06
frontier,hierarchical,fixed,100,20,8,72,71,4,12184620,20.0009,609202
frontier,hierarchical,fixed,1000,20,8,72,71,4,1256188,20.008,62784.2
frontier,hierarchical,uniform,10,20,8,72,71,4,20564244,20.0004,1.02819e+06
frontier,hierarchical,uniform,100,20,8,72,71,4,12174258,20.0009,608685
frontier,hierarchical,uniform,1000,20,8,72,71,4,1257334,20.0098,62835.9
frontier,hierarchical_lockfree_rma,fixed,10,20,8,72,71,4,4261516,20.0001,213075
frontier,hierarchical_lockfree_rma,fixed,100,20,8,72,71,4,4409532,20.0001,220475
frontier,hierarchical_lockfree_rma,fixed,1000,20,8,72,71,4,1151315,20.0001,57565.6
frontier,hierarchical_lockfree_rma,uniform,10,20,8,72,71,4,4279856,20,213992
frontier,hierarchical_lockfree_rma,uniform,100,20,8,72,71,4,4302900,20.0001,215144
frontier,hierarchical_lockfree_rma,uniform,1000,20,8,72,71,4,1166957,20.0001,58347.5
frontier,hierarchical,fixed,10,20,8,448,447,4,34446456,20.0019,1.72216e+06
frontier,hierarchical,fixed,100,20,8,448,447,4,23326034,20.0027,1.16614e+06
frontier,hierarchical,fixed,1000,20,8,448,447,4,8750506,20.0088,437333
frontier,hierarchical,uniform,10,20,8,448,447,4,34462382,20.002,1.72295e+06
frontier,hierarchical,uniform,100,20,8,448,447,4,23173128,20.0022,1.15853e+06
frontier,hierarchical,uniform,1000,20,8,448,447,4,8749590,20.0083,437298
frontier,hierarchical_lockfree_rma,fixed,10,20,8,448,447,4,15596741,20.0005,779819
frontier,hierarchical_lockfree_rma,fixed,100,20,8,448,447,4,17241861,20.0003,862079
frontier,hierarchical_lockfree_rma,fixed,1000,20,8,448,447,4,8047679,20,402384
frontier,hierarchical_lockfree_rma,uniform,10,20,8,448,447,4,15530480,20.0005,776506
frontier,hierarchical_lockfree_rma,uniform,100,20,8,448,447,4,16882933,20.0005,844124
frontier,hierarchical_lockfree_rma,uniform,1000,20,8,448,447,4,8211845,20.0003,410586
